title,year,rating,genre,sinopse,sinopse_no_stopwords,cluster
Um Sonho de Liberdade,1994,9.3,Drama,"dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.","dois homens presos reúnem longo vários anos, encontrando consolo eventual redenção através atos decência comum.",1
O Poderoso Chefão,1972,9.2,Policial,o patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.,patriarca idoso dinastia crime organizado transfere controle império clandestino filho relutante.,3
Batman: O Cavaleiro das Trevas,2008,9.1,Ação,"agora com a ajuda do tenente jim gordon e do promotor público harvey dent, batman tem tudo para banir o crime de gotham city de uma vez por todas. mas em breve, os três serão vítimas do coringa, que pretende lançar gotham em uma anarquia.","agora ajuda tenente jim gordon promotor público harvey dent, batman tudo banir crime gotham city vez todas. breve, três vítimas coringa, pretende lançar gotham anarquia.",2
O Poderoso Chefão: Parte II,1974,9.0,Policial,"o início da vida e da carreira de vito corleone na década de 1920 em nova york, enquanto seu filho, michael, expande e fortalece seu controle sobre o sindicato do crime.","início vida carreira vito corleone década 1920 nova york, enquanto filho, michael, expande fortalece controle sobre sindicato crime.",3
12 Homens e uma Sentença,1957,9.0,Policial,"o julgamento de um assassinato em nova iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.","julgamento assassinato nova iorque frustrado único membro, cujo ceticismo força júri considerar cuidadosamente evidências antes dar veredito.",3
O Senhor dos Anéis: O Retorno do Rei,2003,9.0,Aventura,gandalf e aragorn lideram o mundo dos homens contra o exército de sauron para desviar o olhar de frodo e sam quando eles se aproximam á montanha da perdição com o um anel.,gandalf aragorn lideram mundo homens contra exército sauron desviar olhar frodo sam aproximam á montanha perdição anel.,0
A Lista de Schindler,1993,9.0,Biografia,"na polônia ocupada pelos alemães durante a segunda guerra mundial, o industrial oskar schindler começa a se preocupar com seus trabalhadores judeus depois de testemunhar sua perseguição pelos nazistas.","polônia ocupada alemães durante segunda guerra mundial, industrial oskar schindler começa preocupar trabalhadores judeus testemunhar perseguição nazistas.",0
O Senhor dos Anéis: A Sociedade do Anel,2001,8.9,Aventura,um manso hobbit do condado e oito companheiros partem em uma jornada para destruir o poderoso um anel e salvar a terra-média das trevas.,manso hobbit condado oito companheiros partem jornada destruir poderoso anel salvar terra-média trevas.,0
Pulp Fiction: Tempo de Violência,1994,8.8,Policial,"as vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.","vidas dois assassinos máfia, boxeador, gângster esposa, par bandidos entrelaçam quatro histórias violência redenção.",3
Três Homens em Conflito,1966,8.8,Aventura,um impostor se junta com dois homens para encontrar fortuna num remoto cemitério.,impostor junta dois homens encontrar fortuna remoto cemitério.,0
Forrest Gump: O Contador de Histórias,1994,8.8,Drama,"os governos dos presidentes kennedy e johnson, os eventos do vietnã e watergate e outras histórias são mostradas através da perspectiva de um homem do alabama com baixo quociente intelectual.","governos presidentes kennedy johnson, eventos vietnã watergate outras histórias mostradas através perspectiva homem alabama baixo quociente intelectual.",1
O Senhor dos Anéis: As Duas Torres,2002,8.8,Aventura,"enquanto frodo e sam estão perto de mordor com a ajuda de gollum, a divida comunhão luta contra saruman e os isengards.","enquanto frodo sam perto mordor ajuda gollum, divida comunhão luta contra saruman isengards.",0
Clube da Luta,1999,8.8,Policial,um trabalhador de escritório e um fabricante de sabonetes formam um clube de luta clandestino que evolui para algo muito maior.,trabalhador escritório fabricante sabonetes formam clube luta clandestino evolui algo maior.,3
A Origem,2010,8.8,Ação,um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.,ladrão rouba segredos corporativos através tecnologia entrar subconsciente recebe tarefa inversa plantar idéia mente diretor grande empresa.,2
Star Wars: Episódio V - O Império Contra-Ataca,1980,8.7,Ação,"depois que a aliança rebelde é dominada pelo império, luke skywalker começa seu treinamento jedi com yoda, enquanto seus amigos são perseguidos por toda a galáxia por darth vader e pelo caçador de recompensas boba fett.","aliança rebelde dominada império, luke skywalker começa treinamento jedi yoda, enquanto amigos perseguidos toda galáxia darth vader caçador recompensas boba fett.",2
Matrix,1999,8.7,Ação,um hacker aprende com os misteriosos rebeldes sobre a verdadeira natureza de sua realidade e seu papel na guerra contra seus controladores.,hacker aprende misteriosos rebeldes sobre verdadeira natureza realidade papel guerra contra controladores.,2
Os Bons Companheiros,1990,8.7,Biografia,"a historia do henry hill e sua vida na máfia, sua relação com sua esposa karen hill e seus colegas da máfia jimmy conway e tommy devito no sindicato italo-americano do crime.","historia henry hill vida máfia, relação esposa karen hill colegas máfia jimmy conway tommy devito sindicato italo-americano crime.",0
Interestelar,2014,8.7,Aventura,"uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade.","equipe exploradores viaja através buraco minhoca espaço, tentativa garantir sobrevivência humanidade.",0
Um Estranho no Ninho,1975,8.7,Drama,"um criminoso alega insanidade para ser enviado a um centro de saúde mental, onde se rebela contra a opressiva enfermeira e mobiliza os pacientes a quem ela atemoriza.","criminoso alega insanidade enviado centro saúde mental, onde rebela contra opressiva enfermeira mobiliza pacientes atemoriza.",1
Seven - Os Sete Crimes Capitais,1995,8.6,Policial,"dois detetives, um novato e um veterano, perseguem um assassino em série que usa os sete pecados capitais como motivos.","dois detetives, novato veterano, perseguem assassino série usa sete pecados capitais motivos.",3
A Felicidade Não se Compra,1946,8.6,Drama,"um anjo é enviado dos céus para ajudar um homem de negócios desesperado em sua frustração, e mostra a ele como seria a vida se nunca tivesse existido.","anjo enviado céus ajudar homem negócios desesperado frustração, mostra vida nunca existido.",1
O Silêncio dos Inocentes,1991,8.6,Policial,"uma jovem deve receber a ajuda de um assassino canibal manipulador e preso para ajudar a capturar outro assassino em série, um louco que ataca suas vítimas.","jovem deve receber ajuda assassino canibal manipulador preso ajudar capturar outro assassino série, louco ataca vítimas.",3
Os Sete Samurais,1954,8.6,Ação,uma aldeia pobre sob a ameaça de bandidos recruta sete samurais para ajudá-los a se defenderem.,aldeia pobre sob ameaça bandidos recruta sete samurais ajudá-los defenderem.,2
O Resgate do Soldado Ryan,1998,8.6,Drama,"depois de chegar a normandía, um grupo de soldados precisa encontrar o único irmão vivo de três que morreram na guerra.","chegar normandía, grupo soldados precisa encontrar único irmão vivo três morreram guerra.",1
À Espera de um Milagre,1999,8.6,Policial,"as vidas dos guardas de corredor da morte são afetadas por um dos detidos: um homem afro-americano acusado pelo assassinato e estupro de uma criança, mas com um presente misterioso.","vidas guardas corredor morte afetadas detidos: homem afro-americano acusado assassinato estupro criança, presente misterioso.",3
Cidade de Deus,2002,8.6,Policial,"os caminhos de duas crianças divergem nas favelas do rio, enquanto um se esforça para se tornar um fotógrafo e o outro um chefe do tráfico.","caminhos duas crianças divergem favelas rio, enquanto esforça tornar fotógrafo outro chefe tráfico.",3
A Vida é Bela,1997,8.6,Comédia,"quando um bibliotecário judeu e seu filho se tornarem vítimas do holocausto, ele usará uma mistura perfeita de vontade, humor e imaginação para proteger seu filho dos perigos do campo de concentração.","bibliotecário judeu filho tornarem vítimas holocausto, usará mistura perfeita vontade, humor imaginação proteger filho perigos campo concentração.",0
O Exterminador do Futuro 2: O Julgamento Final,1991,8.6,Ação,"um ciborgue, idêntico ao que falhou em matar sarah connor, agora deve proteger o filho de dez anos dela, john, de um ciborgue ainda mais avançado e poderoso.","ciborgue, idêntico falhou matar sarah connor, agora deve proteger filho dez anos dela, john, ciborgue ainda avançado poderoso.",2
Star Wars: Episódio IV - Uma Nova Esperança,1977,8.6,Ação,"luke skywalker une forças com um cavaleiro jedi, um piloto arrogante, um wookiee e dois andróides para salvar a galáxia da estação de batalha destruidora do império, enquanto tenta resgatar a princesa leia do misterioso darth vader.","luke skywalker une forças cavaleiro jedi, piloto arrogante, wookiee dois andróides salvar galáxia estação batalha destruidora império, enquanto tenta resgatar princesa leia misterioso darth vader.",2
De Volta para o Futuro,1985,8.5,Aventura,"marty mcfly viaja para 1955 com a máquina do tempo do cientista dr. brown. ele deve garantir que seus pais se apaixonem, para não arriscar sua própria existência.","marty mcfly viaja 1955 máquina tempo cientista dr. brown. deve garantir pais apaixonem, arriscar própria existência.",0
A Viagem de Chihiro,2001,8.6,Animação,"uma garota é obrigada a mudar de cidade com seus pais contra a sua vontade. durante a viagem, eles decidem pegar um atalho e se perdem, chegando a um estranho edifício, onde adentrarão um misterioso mundo de monstros e espíritos.","garota obrigada mudar cidade pais contra vontade. durante viagem, decidem pegar atalho perdem, chegando estranho edifício, onde adentrarão misterioso mundo monstros espíritos.",4
O Pianista,2002,8.5,Biografia,um musico judeu luta para sobreviver a destruição de varsóvia durante a segunda guerra mundial.,musico judeu luta sobreviver destruição varsóvia durante segunda guerra mundial.,0
Gladiador,2000,8.5,Ação,um general romano planeja a melhor vingança contra o imperador corrupto que matou sua familia e o fez escravo.,general romano planeja melhor vingança contra imperador corrupto matou familia fez escravo.,2
Parasita,2019,8.5,Drama,"desempregados, a família de ki-taek (song kang-ho) nutre um interesse peculiar pela família park até que eles se veem presos em um inesperado incidente.","desempregados, família ki-taek (song kang-ho) nutre interesse peculiar família park veem presos inesperado incidente.",1
Psicose,1960,8.5,Drama,"uma secretária de phoenix desvia dinheiro de um cliente de sua empresa, foge e vai a um motel remoto gerido por um jovem sob o domínio da mãe.","secretária phoenix desvia dinheiro cliente empresa, foge vai motel remoto gerido jovem sob domínio mãe.",1
O Rei Leão,1994,8.5,Animação,um pequeno lion é obrigado por seu tío a fugir de casa e anos depois se da conta da sua identidade e suas responsabilidades.,pequeno lion obrigado tío fugir casa anos conta identidade responsabilidades.,4
Túmulo dos Vagalumes,1988,8.5,Animação,um menino e sua irmã tentam sobreviver no japão durante a segunda guerra mundial.,menino irmã tentam sobreviver japão durante segunda guerra mundial.,4
Os Infiltrados,2006,8.5,Policial,um policial disfarçado e um espião estão tentando se identificar enquanto se infiltram em uma gangue irlandesa no sul de boston.,policial disfarçado espião tentando identificar enquanto infiltram gangue irlandesa sul boston.,3
Whiplash: Em Busca da Perfeição,2014,8.5,Drama,um jovem e promissor baterista se matricula em um conservatório de música onde seus sonhos são guiados por um instrutor que não pára por nada para perceber o potencial de um aluno.,jovem promissor baterista matricula conservatório música onde sonhos guiados instrutor pára nada perceber potencial aluno.,1
Harakiri,1962,8.6,Drama,"um velho samurai ronin chega à casa de um senhor feudal e pede um lugar honroso para cometer suicídio. mas quando o ronin pede um samurai mais jovem que chegou antes, os eventos seguem um curso inesperado.","velho samurai ronin chega casa senhor feudal pede lugar honroso cometer suicídio. ronin pede samurai jovem chegou antes, eventos seguem curso inesperado.",1
O Grande Truque,2006,8.5,Drama,"depois de um trágico acidente, dois magos do palco se engajam em uma batalha para criar a ilusão final enquanto sacrificam tudo o que têm para enganar um ao outro.","trágico acidente, dois magos palco engajam batalha criar ilusão final enquanto sacrificam tudo têm enganar outro.",1
A Outra História Americana,1998,8.5,Policial,um neonazista tenta evitar que seu irmão mais novo tome o mesmo caminho errado que ele.,neonazista tenta evitar irmão novo tome caminho errado ele.,3
O Profissional,1994,8.5,Ação,"mathilda, uma menina de 12 anos é levada por léon, um assassino profissional, depois que sua família é assassinada. léon e mathilda formam uma relação incomum, desde que ela se torna sua protegida.","mathilda, menina 12 anos levada léon, assassino profissional, família assassinada. léon mathilda formam relação incomum, desde torna protegida.",2
Homem-Aranha: Através do Aranhaverso,2023,8.5,Animação,"viajando pelo multiverso, miles morales conhece um novo time de pessoas-aranha, formado por heróis de diversas dimensões. mas quando os heróis entram em conflito sobre como lidar com uma nova ameaça, miles se vê em um impasse.","viajando multiverso, miles morales conhece novo time pessoas-aranha, formado heróis diversas dimensões. heróis entram conflito sobre lidar nova ameaça, miles vê impasse.",4
Casablanca,1942,8.5,Drama,o proprietário cético de uma boate protege um antigo amor e seu marido dos nazistas no marrocos.,proprietário cético boate protege antigo amor marido nazistas marrocos.,1
Cinema Paradiso,1988,8.5,Drama,"um diretor de cinema lembra como, em sua infância, ele se apaixonou pelo cinema de sua cidade e iniciou uma profunda amizade com o projecionista.","diretor cinema lembra como, infância, apaixonou cinema cidade iniciou profunda amizade projecionista.",1
Intocáveis,2011,8.5,Comédia,"depois de ficar tetraplégico num acidente, um aristocrata contrata um jovem de um bairro pobre para cuidar dele.","ficar tetraplégico acidente, aristocrata contrata jovem bairro pobre cuidar dele.",0
Os Suspeitos,1995,8.5,Policial,"o único sobrevivente conta os torcidos eventos duma luta com pistolas num bote, quanfo cinco criminais eram levados pela polícia.","único sobrevivente conta torcidos eventos duma luta pistolas bote, quanfo cinco criminais levados polícia.",3
Alien - O 8º Passageiro,1979,8.5,Terror,"depois de investigar uma transmissão misteriosa de origem desconhecida, a tripulação de uma nave espacial comercial encontra uma forma de vida mortal.","investigar transmissão misteriosa origem desconhecida, tripulação nave espacial comercial encontra forma vida mortal.",0
Tempos Modernos,1936,8.5,Comédia,um vagabundo luta para viver na sociedade industrial moderna com a ajuda de uma jovem.,vagabundo luta viver sociedade industrial moderna ajuda jovem.,0
Janela Indiscreta,1954,8.5,Drama,um fotógrafo em uma cadeira de rodas espiona seus vizinhos pela janela de seu apartamento e está convencido de que um deles cometeu um assassinato.,fotógrafo cadeira rodas espiona vizinhos janela apartamento convencido cometeu assassinato.,1
Django Livre,2012,8.5,Faroeste,"com a ajuda de um caçador de recompensas alemão, um escravo libertado sai para resgatar sua esposa de um brutal dono de uma plantação no mississipi.","ajuda caçador recompensas alemão, escravo libertado sai resgatar esposa brutal dono plantação mississipi.",2
Era uma Vez no Oeste,1968,8.5,Drama,um misterioso estranho se junta com um bandido para proteger a uma viúva.,misterioso estranho junta bandido proteger viúva.,1
Luzes da Cidade,1931,8.5,Comédia,"com a ajuda de um homem rico, bêbado e imprevisível, um vagabundo ingênuo que se apaixonou por uma florista cega tenta conseguir dinheiro para fornecer ajuda médica.","ajuda homem rico, bêbado imprevisível, vagabundo ingênuo apaixonou florista cega tenta conseguir dinheiro fornecer ajuda médica.",0
Apocalypse Now,1979,8.4,Drama,um oficial do exército dos estados unidos no vietnã é encarregado de assassinar a um coronel que acredita ser um deus.,oficial exército estados unidos vietnã encarregado assassinar coronel acredita deus.,1
WALL·E,2008,8.4,Animação,"num futuro distante, um pequeno robô faz uma viagem que decidirá o destino da humanidade.","futuro distante, pequeno robô faz viagem decidirá destino humanidade.",4
Amnésia,2000,8.4,Drama,um homem com perda da memória de curto prazo tenta investigar o homicídio da sua esposa.,homem perda memória curto prazo tenta investigar homicídio esposa.,1
Duna: Parte 2,2024,8.5,Ação,"diante da difícil escolha entre o amor de sua vida e o destino do universo conhecido, paul atreides, agora ao lado de chani e dos fremen, dará tudo de si para evitar o futuro terrível que só ele pode prever.","diante difícil escolha amor vida destino universo conhecido, paul atreides, agora lado chani fremen, dará tudo si evitar futuro terrível pode prever.",2
Os Caçadores da Arca Perdida,1981,8.4,Ação,"em 1936 o archeologista e aventurero indiana jones é contratado pelo governo dos estados unidos para procurar pelo pacto da arca, antes que os nazis o tenham primeiro.","1936 archeologista aventurero indiana jones contratado governo estados unidos procurar pacto arca, antes nazis primeiro.",2
Vingadores: Guerra Infinita,2018,8.4,Ação,os vingadores e seus aliados deverão sacrificar tudo em uma tentativa de derrotar o poderoso thanos antes que sua explosão de devastação ponha fim ao universo.,vingadores aliados deverão sacrificar tudo tentativa derrotar poderoso thanos antes explosão devastação ponha fim universo.,2
A Vida dos Outros,2006,8.4,Drama,"em 1984, em berlim oriental, um agente da polícia secreta que cuida de um escritor e sua mulher se vê cada vez mais absorvido em suas vidas.","1984, berlim oriental, agente polícia secreta cuida escritor mulher vê cada vez absorvido vidas.",1
Crepúsculo dos Deuses,1950,8.4,Drama,um roteirista estabelece uma relação com uma fracasada estrela de cinema que quer voltar aos filmes.,roteirista estabelece relação fracasada estrela cinema quer voltar filmes.,1
Homem-Aranha: No Aranhaverso,2018,8.4,Animação,o adolescente miles morales se torna o homem-aranha de seu universo e deve se juntar a cinco indivíduos com poderes de aranha de outras dimensões para impedir uma ameaça para todas as realidades.,adolescente miles morales torna homem-aranha universo deve juntar cinco indivíduos poderes aranha outras dimensões impedir ameaça todas realidades.,4
Testemunha de Acusação,1957,8.4,Policial,um veterano advogado britânico deve defender seu cliente em um julgamento de assassinato que tem surpresa após surpresa.,veterano advogado britânico deve defender cliente julgamento assassinato surpresa após surpresa.,3
Glória Feita de Sangue,1957,8.4,Drama,"depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.","recusar atacar posição inimiga, general acusa soldados covardia comandante deve defendê-los.",1
O Iluminado,1980,8.4,Drama,"uma família se dirige a um hotel isolado para o inverno, onde uma presença sinistra influencia a violência do pai, enquanto seu filho psíquico vê presságios horríveis do passado e do futuro.","família dirige hotel isolado inverno, onde presença sinistra influencia violência pai, enquanto filho psíquico vê presságios horríveis passado futuro.",1
O Grande Ditador,1940,8.4,Comédia,o ditador adenoid hynkel tenta expandir seu império enquanto um pobre barbeiro judeu tenta evitar a perseguição por seu regime.,ditador adenoid hynkel tenta expandir império enquanto pobre barbeiro judeu tenta evitar perseguição regime.,0
Bastardos Inglórios,2009,8.4,Aventura,"na frança ocupada pelos nazistas durante a segunda guerra mundial, um plano para assassinar líderes nazistas por parte de um grupo de soldados judeus dos eua coincide com os planos de vingança da dona de uma sala de cinema.","frança ocupada nazistas durante segunda guerra mundial, plano assassinar líderes nazistas parte grupo soldados judeus eua coincide planos vingança dona sala cinema.",0
Repetente,2023,8.7,Biografia,a história da vida real do oficial do ips manoj kumar sharma e do oficial do irs shraddha joshi.,história vida real oficial ips manoj kumar sharma oficial irs shraddha joshi.,0
Aliens: O Resgate,1986,8.4,Ação,ellen ripley é salvada depois de estar dormida por 57 anos. a luna que o nostromo visitou foi colonizada mas o contado se perdeu.,ellen ripley salvada dormida 57 anos. luna nostromo visitou colonizada contado perdeu.,2
Batman: O Cavaleiro das Trevas Ressurge,2012,8.4,Ação,"passaram-se oito anos desde a morte de harvey dent e o batman, ao assumir a culpa pela morte do promotor, desapareceu. agora, ele terá de lidar com a chegada da mulher gato e de bane em gotham city.","passaram-se oito anos desde morte harvey dent batman, assumir culpa morte promotor, desapareceu. agora, lidar chegada mulher gato bane gotham city.",2
Viva: A Vida é uma Festa,2017,8.4,Animação,"o aspirante a músico miguel, confrontado com a proibição ancestral da música pela sua família, entra na terra dos mortos para encontrar o seu tataravô, um cantor lendário.","aspirante músico miguel, confrontado proibição ancestral música família, entra terra mortos encontrar tataravô, cantor lendário.",4
Amadeus,1984,8.4,Biografia,"a vida, sucessos e tribulações de wolfgang amadeus mozart de acordo com antonio salieri, um compositor que era contemporâneo, que sempre teve ciúmes dele e que alegou tê-lo matado.","vida, sucessos tribulações wolfgang amadeus mozart acordo antonio salieri, compositor contemporâneo, sempre ciúmes alegou tê-lo matado.",0
Vingadores: Ultimato,2019,8.4,Ação,"após os eventos devastadores de vingadores: guerra infinita, o universo está em ruínas. e com a ajuda de aliados, os vingadores se reúnem para desfazer as ações de thanos e restaurar a ordem.","após eventos devastadores vingadores: guerra infinita, universo ruínas. ajuda aliados, vingadores reúnem desfazer ações thanos restaurar ordem.",2
Gênio Indomável,1997,8.3,Drama,"will hunting, um zelador de uma universidade, tem habilidades para a matemática, mas precisa da ajuda de um psicólogo para encontrar seu propósito.","will hunting, zelador universidade, habilidades matemática, precisa ajuda psicólogo encontrar propósito.",1
Toy Story,1995,8.3,Animação,"um boneco cowboy fica ciumento quando um novo boneco astronauta se torna o brinquedo principal no quarto de um menino. quando as circunstâncias os separam de seu dono, os dois precisam esquecer suas diferenças para voltar para ele.","boneco cowboy fica ciumento novo boneco astronauta torna brinquedo principal quarto menino. circunstâncias separam dono, dois precisam esquecer diferenças voltar ele.",4
Céu e Inferno,1963,8.4,Policial,um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.,executivo empresa calçados torna-se vítima extorsão filho motorista sequestrado retido resgate.,3
Oldboy,2003,8.3,Ação,"depois de ter sido raptado e preso por quinze anos, oh dae-su é libertado, e descobre que tem 5 dias para encontrar seu sequestrador.","ter sido raptado preso quinze anos, oh dae-su libertado, descobre 5 dias encontrar sequestrador.",2
Dr. Fantástico,1964,8.3,Comédia,um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.,general alienado provoca potencial holocausto nuclear sala guerra cheia políticos generais tenta freneticamente parar.,0
O Barco: Inferno no Mar,1981,8.4,Drama,"o mundo claustrofóbico de um submarino da segunda guerra mundial, cheio de tédio, sujeira e terror.","mundo claustrofóbico submarino segunda guerra mundial, cheio tédio, sujeira terror.",1
Coração Valente,1995,8.3,Biografia,"quando sua noiva en segredo é assassinada, william wallace comença uma revolta contra o rey eduardo i da inglaterra.","noiva en segredo assassinada, william wallace comença revolta contra rey eduardo i inglaterra.",0
